x,y,z,yaw,velocity,change_flag
-44.7601,-3.0226,0.0642,-2.5529,17.9838,0
-45.539,-3.6662,0.0648,-2.4943,18.3513,0
-46.2814,-4.3554,0.065,-2.4348,18.2261,0
-46.9781,-5.0874,0.0653,-2.3748,18.0804,0
-47.628,-5.8606,0.0656,-2.3135,18.1514,0
-48.2287,-6.6749,0.0657,-2.2513,18.0207,0
-48.7768,-7.5243,0.0659,-2.1886,18.1245,0
-49.2731,-8.4107,0.0663,-2.1259,18.125,0
-49.7133,-9.3212,0.069,-2.0649,18.328,0
-50.1031,-10.267,0.0736,-2.0035,18.0091,0
-50.4308,-11.2265,0.0787,-1.9429,18.2954,0
-50.6984,-12.1983,0.0846,-1.8824,18.2308,0
-50.9103,-13.1913,0.0878,-1.8227,18.0442,0
-51.0772,-14.195,0.0923,-1.7721,18.5682,0
-51.2135,-15.199,0.0928,-1.7321,18.2636,0
-51.3347,-16.2188,0.0922,-1.7063,18.2463,0
-51.4345,-17.2275,0.0919,-1.6846,18.4743,0
-51.5156,-18.2509,0.0918,-1.6642,18.3803,0
-51.5659,-19.2638,0.0917,-1.6383,18.5446,0
-51.5885,-20.2999,0.0916,-1.6106,18.4253,0
-51.5984,-21.3267,0.0917,-1.5921,18.3672,0
-51.6121,-22.3624,0.0916,-1.5866,18.7078,0
-51.629,-23.4272,0.0913,-1.5866,19.3919,0
-51.6467,-24.5415,0.091,-1.5867,20.4925,0
-51.6656,-25.7305,0.0907,-1.5868,22.018,0
-51.6852,-27.007,0.0904,-1.5864,23.6377,0
-51.6946,-28.0232,0.0903,-1.5829,24.9723,0
-51.6959,-29.0881,0.0903,-1.5761,26.0343,0
-51.6898,-30.1703,0.0908,-1.5688,25.9327,0
-51.673,-31.2498,0.0912,-1.56,25.9069,0
-51.6471,-32.3262,0.0915,-1.551,25.7977,0
-51.6195,-33.4316,0.0911,-1.547,27.5537,0
-51.5884,-34.6346,0.0901,-1.5454,29.8397,0
-51.5555,-35.9207,0.0897,-1.5451,31.6414,0
-51.5207,-37.2727,0.0897,-1.5452,33.0373,0
-51.485,-38.6679,0.0901,-1.5452,33.7564,0
-51.4489,-40.0756,0.0907,-1.5452,33.7752,0
-51.413,-41.4772,0.0913,-1.5452,33.5445,0
-51.3775,-42.867,0.0916,-1.5452,33.2288,0
-51.3423,-44.2429,0.0919,-1.5452,32.8812,0
-51.3074,-45.6043,0.092,-1.5452,32.5207,0
-51.2729,-46.9512,0.092,-1.5452,32.2573,0
-51.2385,-48.2933,0.0919,-1.5452,32.1848,0
-51.2042,-49.6319,0.0918,-1.5452,32.0981,0
-51.17,-50.967,0.0918,-1.5452,32.0156,0
-51.1379,-52.2191,0.093,-1.5451,28.5576,0
-51.1099,-53.331,0.0943,-1.5453,25.2706,0
-51.0809,-54.6087,0.0951,-1.5471,21.2416,0
-51.0608,-55.67,0.095,-1.55,17.4862,0
-51.0495,-56.7343,0.0941,-1.5559,13.5618,0
-51.048,-57.8443,0.0935,-1.5638,9.713,0
-51.0529,-58.8878,0.092,-1.5701,8.2232,0
-51.0527,-59.9019,0.0906,-1.5704,10.1195,0
-51.0522,-61.0206,0.09,-1.5704,12.8838,0
-51.0518,-62.209,0.0898,-1.5705,15.4682,0
-51.0514,-63.3547,0.0898,-1.5705,17.353,0
-51.0511,-64.3569,0.0908,-1.5706,18.5331,0
-51.0509,-65.3983,0.0913,-1.5706,18.5828,0
-51.0507,-66.631,0.0915,-1.5702,16.6929,0
-51.05,-67.6897,0.0924,-1.5701,13.9781,0
-51.0493,-68.7141,0.093,-1.57,10.7922,0
-51.0483,-69.739,0.0925,-1.5699,8.3331,0
-51.0333,-70.805,0.0911,-1.5621,9.1392,0
-50.9936,-71.934,0.0904,-1.5463,11.1593,0
-50.9355,-72.9324,0.0903,-1.528,12.7245,0
-50.8364,-74.0468,0.0904,-1.5008,14.0115,0
-50.7144,-75.0493,0.0905,-1.4723,14.9854,0
-50.5458,-76.1108,0.0906,-1.4377,15.8662,0
-50.3233,-77.2179,0.0907,-1.3977,16.5532,0
-50.0349,-78.3533,0.0908,-1.3502,17.0978,0
-49.675,-79.5024,0.0907,-1.2967,17.507,0
-49.2369,-80.6529,0.0892,-1.2377,17.8849,0
-48.8306,-81.5694,0.0885,-1.1897,18.1453,0
-48.3761,-82.4746,0.0867,-1.14,18.0175,0
-47.8793,-83.352,0.0838,-1.0909,18.1986,0
-47.3408,-84.2024,0.0809,-1.0419,18.252,0
-46.7508,-85.0376,0.0781,-0.9908,18.2207,0
-46.1254,-85.8329,0.0757,-0.9403,18.3221,0
-45.46,-86.5907,0.0733,-0.8879,18.1744,0
-44.7518,-87.3113,0.071,-0.8332,18.221,0
-44.0074,-87.9901,0.0686,-0.7787,18.0614,0
-43.2272,-88.6382,0.0669,-0.7285,18.2623,0
-42.4271,-89.2495,0.065,-0.6839,18.2028,0
-41.5952,-89.8355,0.0609,-0.642,18.2518,0
-40.7468,-90.3833,0.0558,-0.6025,18.2188,0
-39.8826,-90.8983,0.0504,-0.5639,18.1184,0
-38.9917,-91.3801,0.0448,-0.5236,18.0754,0
-38.0894,-91.8221,0.0397,-0.4844,18.1669,0
-37.164,-92.2316,0.0364,-0.4446,18.1106,0
-36.2259,-92.6025,0.0353,-0.4054,17.9077,0
