x,y,z,yaw,velocity,change_flag
310.8887,-55.3744,0.0355,3.1372,6.0803,0
309.8076,-55.3696,0.0352,3.1371,7.9459,0
308.6060,-55.3642,0.0353,3.1371,9.2487,0
307.5312,-55.3594,0.0354,3.1371,10.0400,0
306.5270,-55.3549,0.0355,3.1371,10.5677,0
305.4771,-55.3501,0.0355,3.1371,11.0007,0
304.2299,-55.3444,0.0356,3.1370,11.4084,0
303.1144,-55.3393,0.0357,3.1370,11.4823,0
301.8421,-55.3336,0.0358,3.1370,11.4507,0
300.5629,-55.3277,0.0357,3.1370,11.5741,0
299.4338,-55.3226,0.0357,3.1370,11.6363,0
298.3018,-55.3175,0.0358,3.1370,11.6663,0
297.1632,-55.3123,0.0357,3.1370,11.7571,0
296.0211,-55.3071,0.0358,3.1370,11.6855,0
294.8980,-55.3019,0.0359,3.1370,11.4170,0
293.8039,-55.2970,0.0359,3.1370,11.1000,0
292.7407,-55.2921,0.0359,3.1370,10.8436,0
291.5255,-55.2866,0.0357,3.1370,11.1170,0
290.4163,-55.2815,0.0355,3.1370,11.6832,0
289.2520,-55.2762,0.0355,3.1370,12.2413,0
288.2093,-55.2715,0.0355,3.1370,12.7524,0
287.1281,-55.2665,0.0355,3.1370,13.1537,0
286.0206,-55.2614,0.0356,3.1370,13.3759,0
284.7268,-55.2555,0.0358,3.1370,13.1119,0
283.6653,-55.2506,0.0361,3.1370,12.3840,0
282.6635,-55.2460,0.0362,3.1370,11.7239,0
281.5564,-55.2410,0.0361,3.1370,11.0975,0
280.5049,-55.2362,0.0361,3.1370,10.5817,0
279.4966,-55.2316,0.0360,3.1370,10.1962,0
278.3849,-55.2265,0.0359,3.1371,9.8374,0
277.1785,-55.2211,0.0359,3.1371,9.4761,0
276.1426,-55.2168,0.0359,3.1373,9.2064,0
275.1296,-55.2157,0.0359,3.1391,9.0432,0
274.0093,-55.2188,0.0358,-3.1410,8.8996,0
272.8872,-55.2268,0.0357,-3.1371,9.1408,0
271.7343,-55.2430,0.0357,-3.1315,9.2759,0
270.5657,-55.2598,0.0357,-3.1292,9.4371,0
269.4999,-55.2730,0.0357,-3.1292,9.7554,0
268.3932,-55.2868,0.0356,-3.1292,10.1842,0
267.3680,-55.2995,0.0355,-3.1292,10.9230,0
266.1028,-55.3151,0.0354,-3.1292,11.7842,0
265.0958,-55.3276,0.0354,-3.1292,12.3509,0
264.0428,-55.3406,0.0354,-3.1292,12.8783,0
262.9511,-55.3541,0.0355,-3.1293,13.2787,0
261.6442,-55.3702,0.0356,-3.1293,13.5728,0
260.5058,-55.3843,0.0357,-3.1293,13.7342,0
259.3545,-55.3985,0.0357,-3.1293,13.8960,0
258.1886,-55.4128,0.0357,-3.1293,14.0788,0
257.0079,-55.4274,0.0357,-3.1293,14.2421,0
255.8157,-55.4421,0.0357,-3.1293,14.3620,0
254.8153,-55.4544,0.0357,-3.1293,14.4460,0
253.8094,-55.4668,0.0357,-3.1293,14.5176,0
252.7986,-55.4792,0.0357,-3.1293,14.5921,0
251.5783,-55.4942,0.0357,-3.1293,14.6918,0
250.5552,-55.5068,0.0357,-3.1293,14.7709,0
249.5264,-55.5195,0.0357,-3.1293,14.8603,0
248.4902,-55.5322,0.0357,-3.1293,14.9794,0
247.4455,-55.5451,0.0357,-3.1293,15.1019,0
246.3925,-55.5580,0.0357,-3.1293,15.2181,0
245.3316,-55.5710,0.0357,-3.1293,15.3264,0
244.2636,-55.5842,0.0357,-3.1293,15.4269,0
243.1890,-55.5974,0.0357,-3.1293,15.5179,0
242.1087,-55.6106,0.0357,-3.1293,15.5881,0
241.0240,-55.6240,0.0357,-3.1293,15.6480,0
239.9354,-55.6373,0.0357,-3.1293,15.7023,0
238.6245,-55.6534,0.0357,-3.1293,15.7463,0
237.3228,-55.6694,0.0359,-3.1293,15.3922,0
236.2819,-55.6821,0.0361,-3.1293,14.6051,0
235.1106,-55.6965,0.0363,-3.1293,13.5930,0
234.0159,-55.7100,0.0363,-3.1293,12.7510,0
232.9930,-55.7226,0.0363,-3.1293,11.8053,0
231.9117,-55.7359,0.0364,-3.1292,10.5228,0
230.8040,-55.7496,0.0362,-3.1292,9.6068,0
229.7594,-55.7626,0.0360,-3.1292,9.2256,0
228.7192,-55.7754,0.0356,-3.1293,9.7868,0
227.6975,-55.7852,0.0352,-3.1308,11.1897,0
226.5370,-55.7908,0.0351,-3.1345,12.5971,0
225.4427,-55.7894,0.0352,-3.1395,13.5032,0
224.3150,-55.7809,0.0356,3.1380,13.3812,0
223.2366,-55.7668,0.0361,3.1325,12.4910,0
222.0881,-55.7444,0.0364,3.1262,11.1916,0
221.0677,-55.7202,0.0364,3.1218,9.8808,0
219.9286,-55.6969,0.0364,3.1215,8.4838,0
218.8851,-55.6759,0.0358,3.1215,8.6302,0
217.8634,-55.6554,0.0354,3.1215,9.7178,0
216.7054,-55.6321,0.0352,3.1214,11.1434,0
215.5511,-55.6088,0.0351,3.1214,12.5225,0
214.4599,-55.5868,0.0351,3.1214,13.5974,0
213.2829,-55.5630,0.0352,3.1214,14.5895,0
212.2411,-55.5419,0.0352,3.1214,15.3615,0
211.1474,-55.5198,0.0352,3.1213,16.0872,0
210.0055,-55.4966,0.0353,3.1213,16.7525,0
208.5790,-55.4677,0.0353,3.1213,17.4235,0
207.3659,-55.4431,0.0356,3.1213,17.3428,0
206.1946,-55.4193,0.0361,3.1213,16.3554,0
205.1076,-55.3973,0.0365,3.1213,15.0668,0
203.9017,-55.3728,0.0365,3.1214,14.0218,0
202.7735,-55.3533,0.0364,3.1233,13.0621,0
201.7411,-55.3449,0.0365,3.1290,11.7540,0
200.6778,-55.3453,0.0366,3.1365,10.2342,0
199.4990,-55.3564,0.0364,-3.1381,8.8008,0
198.4314,-55.3617,0.0359,-3.1373,8.5454,0
197.3425,-55.3666,0.0357,-3.1372,8.9599,0
196.1187,-55.3720,0.0352,-3.1372,10.7282,0
194.9912,-55.3769,0.0350,-3.1373,12.3785,0
193.9003,-55.3817,0.0350,-3.1373,13.7063,0
192.7063,-55.3868,0.0351,-3.1373,14.8545,0
191.6430,-55.3914,0.0351,-3.1373,15.7033,0
190.2915,-55.3972,0.0352,-3.1373,16.6671,0
188.8639,-55.4032,0.0352,-3.1374,17.5348,0
187.6213,-55.4085,0.0360,-3.1374,18.2021,0
186.5961,-55.4128,0.0362,-3.1374,18.5529,0
185.2838,-55.4184,0.0360,-3.1376,19.0110,0
184.2373,-55.4228,0.0362,-3.1376,18.9626,0
182.9167,-55.4281,0.0361,-3.1373,19.1034,0
181.8383,-55.4326,0.0360,-3.1374,19.4784,0
180.4606,-55.4384,0.0359,-3.1376,20.1512,0
179.3354,-55.4430,0.0359,-3.1377,20.5149,0
178.1903,-55.4477,0.0359,-3.1377,20.8669,0
177.0258,-55.4524,0.0359,-3.1377,21.2070,0
175.8426,-55.4571,0.0359,-3.1377,21.5353,0
174.6414,-55.4619,0.0359,-3.1377,21.8522,0
173.4228,-55.4667,0.0359,-3.1377,22.1548,0
172.1883,-55.4716,0.0360,-3.1378,22.4097,0
170.9431,-55.4765,0.0360,-3.1378,22.5429,0
169.6930,-55.4814,0.0361,-3.1378,22.6049,0
168.1275,-55.4874,0.0362,-3.1376,22.4732,0
166.5678,-55.4937,0.0363,-3.1378,22.3994,0
165.3377,-55.4985,0.0364,-3.1378,22.0639,0
164.1277,-55.5032,0.0365,-3.1379,21.6901,0
162.9387,-55.5078,0.0365,-3.1379,21.3208,0
161.4799,-55.5133,0.0365,-3.1375,20.7404,0
160.3310,-55.5178,0.0365,-3.1375,20.4672,0
158.9139,-55.5235,0.0365,-3.1379,20.3583,0
157.5175,-55.5287,0.0364,-3.1376,19.8882,0
156.4141,-55.5329,0.0364,-3.1376,19.6407,0
155.3356,-55.5371,0.0366,-3.1375,18.9399,0
154.3114,-55.5410,0.0368,-3.1375,18.0137,0
152.8480,-55.5470,0.0360,-3.1374,17.0934,0
151.6872,-55.5519,0.0362,-3.1374,16.4330,0
150.5613,-55.5566,0.0361,-3.1374,16.0455,0
149.4579,-55.5612,0.0360,-3.1374,15.7564,0
148.3715,-55.5657,0.0359,-3.1374,15.5725,0
147.0768,-55.5712,0.0358,-3.1374,15.5298,0
145.7755,-55.5766,0.0357,-3.1374,15.7608,0
144.6636,-55.5813,0.0355,-3.1374,16.2557,0
