x,y,z,yaw,velocity,change_flag
206.9587,-47.1856,0.0359,1.5797,51.6887,0
206.9459,-45.7482,0.0360,1.5796,51.7895,0
206.9331,-44.3081,0.0360,1.5796,51.8878,0
206.9203,-42.8653,0.0360,1.5796,51.9839,0
206.9075,-41.4198,0.0360,1.5796,52.0777,0
206.8948,-39.9718,0.0360,1.5796,52.1694,0
206.8820,-38.5212,0.0360,1.5796,52.2591,0
206.8692,-37.0682,0.0360,1.5796,52.3468,0
206.8564,-35.6128,0.0360,1.5796,52.4325,0
206.8436,-34.1550,0.0360,1.5796,52.5164,0
206.8309,-32.6950,0.0360,1.5795,52.5984,0
206.8181,-31.2327,0.0360,1.5795,52.6787,0
206.8064,-29.7681,0.0360,1.5790,52.7568,0
206.7975,-28.3015,0.0360,1.5771,52.8311,0
206.7924,-26.8329,0.0360,1.5741,52.8980,0
206.7919,-25.3625,0.0360,1.5704,52.9525,0
206.7956,-23.8910,0.0360,1.5669,52.9885,0
206.8015,-22.4189,0.0360,1.5648,52.9993,0
206.8093,-20.9469,0.0361,1.5640,52.9858,0
206.8186,-19.4756,0.0361,1.5636,52.9521,0
206.8287,-18.0055,0.0361,1.5635,52.9033,0
206.8392,-16.5370,0.0362,1.5634,52.8435,0
206.8500,-15.0703,0.0362,1.5634,52.7758,0
206.8607,-13.6055,0.0362,1.5634,52.7026,0
206.8715,-12.1428,0.0362,1.5634,52.6257,0
206.8822,-10.6823,0.0363,1.5634,52.5465,0
206.8930,-9.2240,0.0363,1.5634,52.4675,0
206.9038,-7.7679,0.0363,1.5634,52.3911,0
206.9146,-6.3138,0.0363,1.5634,52.3169,0
206.9254,-4.8618,0.0363,1.5634,52.2449,0
206.9361,-3.4117,0.0363,1.5634,52.1748,0
206.9469,-1.9636,0.0363,1.5634,52.1065,0
206.9575,-0.5173,0.0363,1.5634,52.0400,0
206.9682,0.9272,0.0363,1.5634,51.9751,0
206.9789,2.3698,0.0363,1.5634,51.9118,0
206.9895,3.8108,0.0363,1.5634,51.8500,0
207.0002,5.2501,0.0363,1.5634,51.7897,0
207.0108,6.6877,0.0363,1.5634,51.7308,0
207.0215,8.1237,0.0362,1.5634,51.6732,0
207.0322,9.5581,0.0362,1.5634,51.6170,0
207.0428,10.9909,0.0362,1.5634,51.5621,0
207.0535,12.4223,0.0362,1.5634,51.5084,0
207.0640,13.8522,0.0362,1.5634,51.4576,0
207.0746,15.2808,0.0362,1.5634,51.4109,0
